s,p,old_o,new_o,New_triple_already_exists
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96487,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9383,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4855,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17572,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20037,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89576,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49529,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C24704,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35574,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5922,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5931,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C155983,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6983,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C159244,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90506,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C172227,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156074,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136836,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133063,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133062,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25814,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C191320,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C191321,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C191685,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140708,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140706,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136491,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8328,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8326,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C150577,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8275,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71305,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162194,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89898,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89894,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C179717,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140150,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C140147,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61108,0.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C191262,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C189427,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26868,0.0
