,IRI
0,http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseyVegetableTopping
1,http://www.co-ode.org/ontologies/pizza/pizza.owl#SlicedTomatoTopping
2,http://www.co-ode.org/ontologies/pizza/pizza.owl#PepperTopping
3,http://www.co-ode.org/ontologies/pizza/pizza.owl#Germany
4,http://www.co-ode.org/ontologies/pizza/pizza.owl#SloppyGiuseppe
5,https://en.wikipedia.org/wiki/Pizza
6,http://www.co-ode.org/ontologies/pizza/pizza.owl#ArtichokeTopping
7,http://www.co-ode.org/ontologies/pizza/pizza.owl#SpicyPizzaEquivalent
8,http://www.co-ode.org/ontologies/pizza/pizza.owl#ThinAndCrispyPizza
9,http://www.co-ode.org/ontologies/pizza/pizza.owl#American
10,http://www.co-ode.org/ontologies/pizza/pizza.owl#ValuePartition
11,http://www.co-ode.org/ontologies/pizza/pizza.owl#Napoletana
12,http://www.co-ode.org/ontologies/pizza/pizza.owl#Mild
13,http://www.co-ode.org/ontologies/pizza/pizza.owl#QuattroFormaggi
14,http://www.co-ode.org/ontologies/pizza/pizza.owl#Mushroom
15,http://www.co-ode.org/ontologies/pizza/pizza.owl#Caprina
16,http://www.co-ode.org/ontologies/pizza/pizza.owl#CaperTopping
17,http://www.co-ode.org/ontologies/pizza/pizza.owl#GoatsCheeseTopping
18,http://www.co-ode.org/ontologies/pizza/pizza.owl#Hot
19,http://purl.org/dc/elements/1.1/description
20,http://www.co-ode.org/ontologies/pizza/pizza.owl#Country
21,http://www.co-ode.org/ontologies/pizza/pizza.owl#SpicyPizza
22,http://www.co-ode.org/ontologies/pizza/pizza.owl#HamTopping
23,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping
24,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizzaEquivalent1
25,http://www.co-ode.org/ontologies/pizza/pizza.owl#DomainConcept
26,http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare
27,http://www.co-ode.org/ontologies/pizza/pizza.owl#RedOnionTopping
28,http://www.co-ode.org/ontologies/pizza/pizza.owl#IceCream
29,http://www.co-ode.org/ontologies/pizza/pizza.owl#PolloAdAstra
30,http://www.co-ode.org/ontologies/pizza/pizza.owl#UnclosedPizza
31,http://www.w3.org/2002/07/owl#AnnotationProperty
32,http://www.co-ode.org/ontologies/pizza/pizza.owl#ThinAndCrispyBase
33,http://www.w3.org/2002/07/owl#Ontology
34,http://www.co-ode.org/ontologies/pizza/pizza.owl#HotSpicedBeefTopping
35,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasIngredient
36,http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza
37,http://www.co-ode.org/ontologies/pizza/pizza.owl#RocketTopping
38,http://www.w3.org/2002/07/owl#Thing
39,http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaBase
40,http://purl.org/dc/terms/license
41,http://www.co-ode.org/ontologies/pizza/pizza.owl#Fiorentina
42,http://www.co-ode.org/ontologies/pizza/pizza.owl#SpinachTopping
43,http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot
44,http://www.w3.org/2002/07/owl#NamedIndividual
45,http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaTopping
46,http://www.co-ode.org/ontologies/pizza/pizza.owl#Food
47,http://www.co-ode.org/ontologies/pizza/pizza.owl#PrinceCarlo
48,http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseyPizza
49,http://www.co-ode.org/ontologies/pizza/pizza.owl#Italy
50,http://www.co-ode.org/ontologies/pizza/pizza.owl#isToppingOf
51,http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping
52,http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatTopping
53,http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping
54,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping
55,http://www.co-ode.org/ontologies/pizza/pizza.owl#AsparagusTopping
56,http://www.w3.org/2004/02/skos/core#definition
57,http://www.co-ode.org/ontologies/pizza/pizza.owl#InterestingPizza
58,http://purl.org/dc/terms/provenance
59,http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho
60,http://www.co-ode.org/ontologies/pizza/pizza.owl#ParmesanTopping
61,http://purl.org/dc/elements/1.1/title
62,http://www.co-ode.org/ontologies/pizza/pizza.owl#PeperonataTopping
63,http://www.co-ode.org/ontologies/pizza/pizza.owl#FruitTopping
64,http://www.co-ode.org/ontologies/pizza/pizza.owl#DeepPanBase
65,http://www.co-ode.org/ontologies/pizza/pizza.owl#SpicyTopping
66,http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping
67,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizzaEquivalent2
68,http://www.co-ode.org/ontologies/pizza/pizza.owl#Spiciness
69,http://www.co-ode.org/ontologies/pizza/pizza.owl#Parmense
70,http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatyPizza
71,http://www.co-ode.org/ontologies/pizza/pizza.owl#America
72,http://www.co-ode.org/ontologies/pizza/pizza.owl#GorgonzolaTopping
73,http://www.co-ode.org/ontologies/pizza
74,http://www.co-ode.org/ontologies/pizza/pizza.owl#Pizza
75,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasBase
76,http://www.co-ode.org/ontologies/pizza/pizza.owl#Capricciosa
77,http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping
78,http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine
79,http://www.co-ode.org/ontologies/pizza/pizza.owl#Veneziana
80,http://www.co-ode.org/ontologies/pizza/pizza.owl#France
81,http://www.co-ode.org/ontologies/pizza/pizza.owl#HerbSpiceTopping
82,http://www.w3.org/2002/07/owl#FunctionalProperty
83,http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana
84,http://www.co-ode.org/ontologies/pizza/pizza.owl#AnchoviesTopping
85,http://www.co-ode.org/ontologies/pizza/pizza.owl#SultanaTopping
86,http://www.w3.org/2004/02/skos/core#altLabel
87,http://www.w3.org/2002/07/owl#TransitiveProperty
88,http://www.co-ode.org/ontologies/pizza/pizza.owl#isBaseOf
89,http://www.w3.org/2004/02/skos/core#prefLabel
90,http://www.co-ode.org/ontologies/pizza/pizza.owl#TomatoTopping
91,http://www.co-ode.org/ontologies/pizza/pizza.owl#FishTopping
92,http://www.co-ode.org/ontologies/pizza/pizza.owl#Rosa
93,http://www.co-ode.org/ontologies/pizza/pizza.owl#OnionTopping
94,http://www.co-ode.org/ontologies/pizza/pizza.owl#PineKernels
95,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasSpiciness
96,http://www.co-ode.org/ontologies/pizza/pizza.owl#FourCheesesTopping
97,http://www.co-ode.org/ontologies/pizza/pizza.owl#HotGreenPepperTopping
