s,p,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8142,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8143,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8145,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5006
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80354,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37269,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3974,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8357,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7758,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97137,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7756,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4708,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8391,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3237
