p,s,o
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6315,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6313
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6314,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6313
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C191258,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184351
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186006,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184351
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C186000,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184351
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7800,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88157
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88158,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88157
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88159,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88157
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41241,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C143152
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184412,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184357
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184411,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184357
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184410,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C184357
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C185985,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C185910
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126192,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126191
